2025/11/17 21:17:59 INFO Starting partners-only import...
2025/11/17 21:17:59 INFO Loading Socios files…
2025/11/17 21:20:24 INFO Found 26650670 partner records to process
Processing partners   0% |                      | (0/26650670, 0 it/hr) [0s:0s]2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=29565214
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05287330
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=31273085
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03933743
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01746886
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05287089
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=07281816
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=46135279
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01892085
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=28680132
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=08413304
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04184994
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05287080
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01943009
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=30369057
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=02241822
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05287106
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=02241737
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05594303
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01655352
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05594453
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03618008
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=17934152
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04536149
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03618084
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=00620373
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04352153
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=27829532
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=29326146
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04943931
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=02241688
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04400474
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=30310223
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04943910
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03933690
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=00000810
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04536477
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=02241682
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03933527
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=29927752
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03301806
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=08761519
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03618043
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01943047
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05594425
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03933566
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=00620436
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=46156910
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03617971
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=46150384
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03933578
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=09042955
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05594546
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03618098
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01856486
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01887127
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05594271
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05594415
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03933780
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=03933775
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=31336419
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=02241518
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=02241626
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01943032
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=29640618
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=00003547
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04536745
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=41341555
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=07281833
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=31862562
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05594487
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04499157
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=31498313
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=04403502
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=01652623
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=17922364
2025/11/17 22:08:24 WARN No businesses found for CNPJ, skipping partners cnpj=05287113
